,particle,material,thickness,p,cos_theta,efficiency,hit_additional_layer,all
0,single_n0,ld,0,0.05,0.05,0.0010351966873706005,1.0,966.0
1,single_n0,ld,0,0.05,0.15000000000000002,0.0,0.0,925.0
2,single_n0,ld,0,0.05,0.25,0.0011037527593818985,1.0,906.0
3,single_n0,ld,0,0.05,0.35000000000000003,0.002150537634408602,2.0,930.0
4,single_n0,ld,0,0.05,0.45,0.002061855670103093,2.0,970.0
5,single_n0,ld,0,0.05,0.55,0.0,0.0,921.0
6,single_n0,ld,0,0.05,0.6500000000000001,0.0010559662090813093,1.0,947.0
7,single_n0,ld,0,0.05,0.75,0.00202020202020202,2.0,990.0
8,single_n0,ld,0,0.05,0.8500000000000001,0.0010845986984815619,1.0,922.0
9,single_n0,ld,0,0.15000000000000002,0.05,0.0,0.0,913.0
10,single_n0,ld,0,0.15000000000000002,0.15000000000000002,0.0011160714285714285,1.0,896.0
11,single_n0,ld,0,0.15000000000000002,0.25,0.002352941176470588,2.0,850.0
12,single_n0,ld,0,0.15000000000000002,0.35000000000000003,0.0,0.0,898.0
13,single_n0,ld,0,0.15000000000000002,0.45,0.0010834236186348862,1.0,923.0
14,single_n0,ld,0,0.15000000000000002,0.55,0.0,0.0,890.0
15,single_n0,ld,0,0.15000000000000002,0.6500000000000001,0.0,0.0,887.0
16,single_n0,ld,0,0.15000000000000002,0.75,0.0,0.0,928.0
17,single_n0,ld,0,0.15000000000000002,0.8500000000000001,0.0,0.0,879.0
18,single_n0,ld,0,0.25,0.05,0.0,0.0,945.0
19,single_n0,ld,0,0.25,0.15000000000000002,0.0,0.0,950.0
20,single_n0,ld,0,0.25,0.25,0.0,0.0,938.0
21,single_n0,ld,0,0.25,0.35000000000000003,0.0,0.0,875.0
22,single_n0,ld,0,0.25,0.45,0.0,0.0,961.0
23,single_n0,ld,0,0.25,0.55,0.0,0.0,924.0
24,single_n0,ld,0,0.25,0.6500000000000001,0.0,0.0,913.0
25,single_n0,ld,0,0.25,0.75,0.0,0.0,951.0
26,single_n0,ld,0,0.25,0.8500000000000001,0.0,0.0,896.0
27,single_n0,ld,0,0.35000000000000003,0.05,0.0,0.0,924.0
28,single_n0,ld,0,0.35000000000000003,0.15000000000000002,0.0,0.0,916.0
29,single_n0,ld,0,0.35000000000000003,0.25,0.0010718113612004287,1.0,933.0
30,single_n0,ld,0,0.35000000000000003,0.35000000000000003,0.0,0.0,909.0
31,single_n0,ld,0,0.35000000000000003,0.45,0.0010548523206751054,1.0,948.0
32,single_n0,ld,0,0.35000000000000003,0.55,0.0,0.0,961.0
33,single_n0,ld,0,0.35000000000000003,0.6500000000000001,0.0,0.0,942.0
34,single_n0,ld,0,0.35000000000000003,0.75,0.001075268817204301,1.0,930.0
35,single_n0,ld,0,0.35000000000000003,0.8500000000000001,0.0010526315789473684,1.0,950.0
36,single_n0,ld,0,0.45,0.05,0.0,0.0,917.0
37,single_n0,ld,0,0.45,0.15000000000000002,0.0,0.0,965.0
38,single_n0,ld,0,0.45,0.25,0.0,0.0,941.0
39,single_n0,ld,0,0.45,0.35000000000000003,0.0,0.0,945.0
40,single_n0,ld,0,0.45,0.45,0.0,0.0,902.0
41,single_n0,ld,0,0.45,0.55,0.0,0.0,949.0
42,single_n0,ld,0,0.45,0.6500000000000001,0.0,0.0,900.0
43,single_n0,ld,0,0.45,0.75,0.0,0.0,938.0
44,single_n0,ld,0,0.45,0.8500000000000001,0.0,0.0,1002.0
45,single_n0,ld,0,0.55,0.05,0.0,0.0,958.0
46,single_n0,ld,0,0.55,0.15000000000000002,0.0,0.0,916.0
47,single_n0,ld,0,0.55,0.25,0.0,0.0,891.0
48,single_n0,ld,0,0.55,0.35000000000000003,0.0,0.0,925.0
49,single_n0,ld,0,0.55,0.45,0.0,0.0,900.0
50,single_n0,ld,0,0.55,0.55,0.001,1.0,1000.0
51,single_n0,ld,0,0.55,0.6500000000000001,0.0,0.0,902.0
