,particle,material,thickness,p,cos_theta,p_loc,p_loc_err,p_scale,p_scale_err,theta_loc,theta_loc_err,theta_scale,theta_scale_err,efficiency,valid,all,delta_angle_one_sigma
0,single_pi-,ld,0,0.15000000000000002,0.05,-0.0015192317714576161,2.0191468791460685e-05,0.006702512562021575,8.544176906936166e-05,0.0021615934960329524,0.00037475337721562687,0.015974072428353723,0.0003059824277680786,0.9172154280338665,975.0,1063.0,0.032340525720393754
1,single_pi-,ld,0,0.15000000000000002,0.15000000000000002,0.00273986017138087,0.0002286458513803862,0.006519473350344665,5.0104201418683185e-05,0.0008029477733951355,0.0003361216413952506,0.01657616737674603,0.0002744421827339817,0.9383215369059656,928.0,989.0,0.029586921089148854
2,single_pi-,ld,0,0.15000000000000002,0.25,0.0005207360666051658,6.577979356217681e-05,0.002120801328936,1.7854870714830696e-05,0.0004226484284345337,0.0003779968666460899,0.015411033196870828,0.00030863311737934826,0.9271794871794872,904.0,975.0,0.027094589164166873
3,single_pi-,ld,0,0.15000000000000002,0.35000000000000003,-0.0018245579079767494,0.00010798961796908585,0.003330640079615338,2.78589082639117e-05,0.0007009788687077702,0.0003608034346411185,0.01620424083881986,0.0002945948220264745,0.90625,899.0,992.0,0.028889437944946323
4,single_pi-,ld,0,0.15000000000000002,0.45,-1.3906494439528007e-05,1.9208932757865958e-05,0.0012396229845454997,1.998162878834294e-05,0.0007093416461541316,0.0004516971041570292,0.015143147789578405,0.000368809120489595,0.8887841658812441,943.0,1061.0,0.029373425892273798
5,single_pi-,ld,0,0.15000000000000002,0.55,-0.0001640124538518839,2.9556811085399137e-05,0.0010780029604330066,2.412216827365447e-05,7.01475599993671e-05,0.0004999218575752126,0.0184403778202351,0.00040818457217124335,0.8754940711462451,886.0,1012.0,0.03285191831077373
6,single_pi-,ld,0,0.15000000000000002,0.6500000000000001,-0.00017543961144472116,4.024157268339981e-05,0.0013222110794986097,3.285712836766391e-05,0.0008946016492822452,0.0005688158643135264,0.01949752736404812,0.0004644361645230929,0.8199608610567515,838.0,1022.0,0.03479465934685796
7,single_pi-,ld,0,0.15000000000000002,0.75,-0.00013562657141861484,9.652746493574034e-05,0.0024218199052773105,7.885029020283222e-05,0.0014017172498168775,0.0008975336693031572,0.02543027080437323,0.0007328332067842761,0.7396883593033914,807.0,1091.0,0.0493144331282377
8,single_pi-,ld,0,0.15000000000000002,0.8500000000000001,-0.0007884984624794501,0.0002283852861790092,0.00421417262993389,0.0001857911526858279,0.0040296325484416124,0.0013741162589469274,0.030514478764723695,0.0011219613085539707,0.5619335347432024,558.0,993.0,0.06523573429246027
9,single_pi-,ld,0,0.25,0.05,8.919140050065291e-05,1.8484532261997333e-05,0.0011823670228529634,6.333133844539055e-06,0.00010514261775698117,0.00010028011531584243,0.008256308488270202,8.187836804779579e-05,0.9794661190965093,954.0,974.0,0.01233859125348495
